01; В.Е.; Туманов
02; Раймонд; Фрост
03; Джон; Дей
04; Крейг; Ван Слайк
05; К.; Кляйн
06; Д.; Кляйн
07; Б.; Хант
08; S.; Feuerstein
09; B.; Pribyl
10; Мартин; Грабер
11; Джеймс; Грофф
12; Пол; Вайнберг
13; К. Дж.; Дейт
