40644310,"cladr:code","54000001000083000"
40644313,"building","yes"
40644314,"building","yes"
40877872,"addr:postcode","630090"
40877872,"cladr:code","54000001000037200"
40877872,"cladr:name","Детский"
40877872,"cladr:suffix","Проезд"
40877872,"highway","residential"
40877872,"lanes","2"
40877872,"name","Детский Проезд"
40877872,"surface","asphalt"
40983265,"building","yes"
40983265,"building:levels","5"
40983265,"name","Общежитие 3"
40983266,"building","yes"
40983266,"building:levels","1"
40983266,"name","Общежитие 3"
40983267,"building","yes"
40983267,"building:levels","1"
40983267,"name","Общежитие 4"
40983268,"addr:housenumber","8"
40983268,"addr:street","Пирогова"
40983268,"building","yes"
40983268,"building:levels","5"
40983268,"cladr:code","54000001000100500"
40983268,"name","Общежитие 4"
40983269,"addr:housenumber","10"
40983269,"addr:street","Пирогова"
40983269,"building","yes"
40983269,"building:levels","5"
40983269,"cladr:code","54000001000100500"
40983269,"name","Общежитие 5"
40983270,"building","yes"
40983270,"building:levels","1"
40983270,"name","Общежитие 5"
40983271,"building","yes"
40983271,"building:levels","5"
40983271,"name","Общежитие 6"
40983272,"building","yes"
40983272,"building:levels","1"
40983272,"name","Общежитие 6"
40983273,"building","yes"
40983273,"building:levels","5"
40983273,"name","Общежитие 7"
40983274,"building","yes"
40983274,"building:levels","1"
40983274,"name","Общежитие 7"
40983275,"addr:housenumber","18а"
40983275,"addr:street","Пирогова"
40983275,"building","yes"
40983275,"building:levels","5"
40983275,"cladr:code","54000001000100500"
40983275,"name","Общежитие 9"
40983276,"addr:housenumber","10"
40983276,"addr:street","Пирогова"
40983276,"building","yes"
40983276,"building:levels","5"
40983276,"cladr:code","54000001000100500"
40983276,"name","Общежитие 10"
40983277,"addr:housenumber","11"
40983277,"addr:street","Пирогова"
40983277,"building","yes"
40983277,"building:levels","5"
40983277,"cladr:code","54000001000100500"
40983278,"addr:housenumber","11"
40983278,"addr:street","Пирогова"
40983278,"building","yes"
40983278,"building:levels","5"
40983278,"cladr:code","54000001000100500"
40983278,"name","Общежитие ФМШ"
40983423,"addr:housenumber","3"
40983423,"addr:street","Ляпунова"
40983423,"amenity","school"
40983423,"building","yes"
40983423,"name","СУНЦ НГУ"
40983871,"highway","service"
40983871,"surface","concrete"
40983874,"highway","service"
40983874,"surface","concrete"
42243964,"amenity","cafe"
42243964,"building","yes"
42243964,"building:levels","2"
42243964,"name","Столовая НГУ"
42243965,"amenity","cafe"
42243965,"building","yes"
42243965,"building:levels","2"
42243965,"name","Столовая ФМШ"
42243966,"building","yes"
42243966,"building:levels","9"
42243966,"name","Общежитие 8/1"
42243967,"building","yes"
42243967,"building:levels","9"
42243967,"name","Общежитие 8/2"
42243993,"addr:postcode","630090"
42243993,"cladr:code","54000001000171500"
42243993,"cladr:name","Академика Коптюга"
42243993,"cladr:suffix","Проспект"
42243993,"highway","secondary"
42243993,"lanes","3"
42243993,"name","проспект Академика Коптюга" 
44691562,"addr:city","Новосибирск"
44691562,"addr:housenumber","5"
44691562,"addr:postcode","630090"
44691562,"addr:street","Правды"
44691562,"building","yes"
44691562,"cladr:code","54000001000107700"
44691564,"addr:city","Новосибирск"
44691564,"addr:housenumber","7а"
44691564,"addr:postcode","630090"
44691564,"addr:street","Правды"
44691564,"building","yes"
44691564,"cladr:code","54000001000107700"
44691566,"addr:city","Новосибирск"
44691566,"addr:housenumber","7"
44691566,"addr:postcode","630090"
44691566,"addr:street","Правды"
44691566,"building","yes"
44691566,"cladr:code","54000001000107700"
44691567,"addr:city","Новосибирск"
44691567,"addr:housenumber","9"
44691567,"addr:postcode","630090"
44691567,"addr:street","Правды"
44691567,"building","yes"
44691567,"cladr:code","54000001000107700"
44691570,"addr:city","Новосибирск"
44691570,"addr:housenumber","3"
44691570,"addr:postcode","630090"
44691570,"addr:street","Правды"
44691570,"building","yes"
